ID	CHARACTER	STANZA	SECTION	OCH	MCH	PWY
1	丱	102.3	2	?	kwaenH	kroons
2	伉	237.7	2	?	khangH	khaaŋs
3	伾	297.2	4	?	phij	phrɯ
3	伾	297.2	4	?	phij	phrɯ
4	佸	66.2	3	?	kwat	?
5	佽	119.1	2	?	tshijH	?
5	佽	119.2	2	?	tshijH	?
5	佽	179.5	1	?	tshijH	?
6	侑	209.1	1	?	hwojX	?
7	俁	38.1	1	?		ŋʷaʔ
8	俄	220.4	1	?	nga	ŋaal
9	俅	292.1	2	?		ɡu
9	俅	292.1	2	?		ɡu
10	倩	57.2	1	?	tshjengH	tsheŋs
11	偈	149.1	2	?	gjejH	ɡrads
12	偲	103.3	2	?	si	snɯ
13	傚	161.2	2	?	haewH	ɡreews
13	傚	223.2	2	?	haewH	ɡreews
14	傞	220.4	2	?	tsha	skhaal
14	傞	220.4	2	?	tsha	skhaal
15	僛	220.4	2	?	khi	?
15	僛	220.4	2	?	khi	?
16	僩	55.1	1	?	keanX	kreenʔ
16	僩	55.2	1	?	keanX	kreenʔ
17	僮	13.3	1	?	duwng	dooŋ
18	儦	105.4	2	?	pjew	prew
18	儦	105.4	2	?	pjew	prew
19	兌	237.8	2	?	dwajH	loods
19	兌	241.3	3	?	dwajH	loods
20	冔	235.5	2	?	xju	
21	冾	254.2	2			
22	匊	117.2	2	?	kjuwk	kuɡ
22	匊	226.1	2	?	kjuwk	kuɡ
23	厎	195.2	2	?	tsyijX	tjilʔ
24	呶	220.4	2	?	nraem	rnaaw
25	唪	245.4	5	?	bjowngX	boŋʔ
25	唪	245.4	5	?	bjowngX	boŋʔ
26	售	35.5	2	?		
27	啍	73.2	1	?	thwon	thuun
28	喤	189.8	1	?		ɡʷraaŋ
28	喤	189.8	1	?		ɡʷraaŋ
28	喤	274.1	1	?		ɡʷraaŋ
28	喤	274.1	1	?		ɡʷraaŋ
29	嗷	181.3	2	?	ngaw	ŋoow
30	嘌	149.2	2	?		phew
31	嘏	283.1	3	?	kaeX	kraaʔ
31	嘏	300.8	1	?	kaeX	kraaʔ
32	嘵	155.4	5	?	xew	qheew
32	嘵	155.4	5	?	xew	qheew
33	噦	182.2	2	?	xwajH	qhʷaads
33	噦	182.2	2	?	xwajH	qhʷaads
33	噦	299.1	2	?	xwajH	qhʷaads
33	噦	299.1	2	?	xwajH	qhʷaads
34	噳	261.5	4	?		ŋʷaʔ
34	噳	261.5	4	?		ŋʷaʔ
35	嚶	165.1	2	?	'eang	qreeŋ
35	嚶	165.1	2	?	'eang	qreeŋ
36	圃	100.3	1	?	puH	paas
36	圃	154.7	1	?	puH	paas
37	垢	257.12	2	?	kuwX	kooʔ
38	埽	46.1	2			
38	埽	115.2	2			
38	埽	165.2	1			
39	塒	66.1	1	?	dzyi	ɡljɯ
40	墉	17.3	2	?	yowng	k-loŋ
40	墉	241.7	6	?	yowng	k-loŋ
41	壼	247.6	2	?	khwonX	?
42	妯	208.3	1	?	drjuwk	rliwɡ
43	姝	42.1	1	?	tsyhu	thjo
44	姨	57.1	4	?	yij	li
45	姻	51.3	2	?	'jin	qin
46	孚	235.7	2	?	phju	pho
46	孚	243.2	2	?	phju	pho
47	寮	254.3	2			
48	尰	198.6	1	?	dzyowngX	djoŋʔ
49	屺	110.2	1	?	khiX	khɯʔ
50	岡	3.3	1	?		kaaŋ
50	岡	110.3	1	?		kaaŋ
50	岡	241.6	3	?		kaaŋ
50	岡	250.3	1	?		kaaŋ
50	岡	250.5	3	?		kaaŋ
50	岡	252.9	2	?		kaaŋ
51	岵	110.1	1	?		ɡaaʔ
52	峨	238.2	1	?	nga	ŋaal
53	嶷	245.4	2	?	ngi	ŋɡɯ
54	巔	125.1	2	?		tiin
55	帑	164.8	2	?	nu	naa
56	幝	169.3	1	?	tsyhenX	thjanʔ
56	幝	169.3	1	?	tsyhenX	thjanʔ
57	幡	200.4	1	?	phjon	phan
57	幡	220.3	2	?	phjon	phan
57	幡	220.3	2	?	phjon	phan
58	幪	245.4	4	?	muwng	mooŋ
58	幪	245.4	4	?	muwng	mooŋ
59	床	189.8	2	?	dzrjang	sɡraŋ
59	床	205.4	1	?	dzrjang	sɡraŋ
60	庭	98.2	1	?		deeŋ
60	庭	189.5	1	?		deeŋ
60	庭	263.6	2	?		deeŋ
60	庭	280.1	2	?		deeŋ
60	庭	286.1	2	?		deeŋ
61	廱	242.4	2	?	'jowng	qoŋ
61	廱	242.5	2	?	'jowng	qoŋ
61	廱	244.6	1	?	'jowng	qoŋ
62	忉	102.1	2	?	taw	k-laaw
62	忉	102.1	2	?	taw	k-laaw
62	忉	142.1	2	?	taw	k-laaw
62	忉	142.1	2	?	taw	k-laaw
62	忉	146.1	2	?	taw	k-laaw
62	忉	146.1	2	?	taw	k-laaw
63	怓	253.2	2	?	nraem	rnaaw
64	怙	121.1	3	?		ɡaaʔ
65	怭	220.3	2	?	bjit	biɡ
65	怭	220.3	2	?	bjit	biɡ
66	怯	81.1	2	?	khjaep	?
67	怲	217.2	2	?	pjaengH	pqraŋs
68	恌	161.2	1	?	thew	kh-leew
69	恪	301.1	2	?	khak	khlaaɡ
70	恫	240.2	3	?	duwngH	looŋs
71	悄	26.4	1	?	tshjewX	smʰewʔ
71	悄	143.1	2	?	tshjewX	smʰewʔ
72	惔	191.1	1	?	dam	ɡ-laam
73	惙	14.2	2	?	trjwet	krlod
74	愚	256.1	2	?	ngju	ŋo
75	慄	131.1	2	?	lit	b-riɡ
75	慄	131.2	2	?	lit	b-riɡ
75	慄	131.3	2	?	lit	b-riɡ
76	慅	143.2	2	?	tshawX	tshuuʔ
77	慆	114.3	2	?	thaw	kh-luu
78	慍	237.8	1	?	'junH	quns
79	慘	143.3	2	?	tshomX	tshuumʔ
80	慱	147.1	3	?	dwan	doon
80	慱	147.1	3	?	dwan	doon
81	懌	191.8	1	?		laɡ
81	懌	217.1	2	?		laɡ
81	懌	254.2	1	?		laɡ
81	懌	301.1	2	?		laɡ
82	懰	143.2	2	?		b-ru
83	括	66.2	3	?	kwat	kood
83	括	218.1	2	?	kwat	kood
84	挃	291.1	1	?	trit	k-liɡ
84	挃	291.1	1	?	trit	k-liɡ
85	掎	197.7	1	?	khjeH	khrals
86	掤	78.3	3	?	ping	prɯŋ
87	揄	245.7	1	?	duw	loo
88	揥	47.2	2	?	trhjejH	khrleds
88	揥	107.2	3	?	trhjejH	khrleds
89	摧	40.3	2	?	dzwoj	sɡluul
89	摧	216.4	2	?	dzwoj	sɡluul
89	摧	258.3	2	?	dzwoj	sɡluul
90	攜	254.6	2	?	hwej	ɡʷlee
91	斁	2.2	2	?		k-laaɡs
91	斁	278.1	2	?		k-laaɡs
91	斁	297.3	1	?		k-laaɡs
91	斁	299.7	2	?		k-laaɡs
91	斁	301.1	1	?		k-laaɡs
92	斐	200.1	1	?		pɯl
93	斨	154.3	2	?		skhaŋ
93	斨	157.1	2	?		skhaŋ
94	旃	125.1	1	?	tsyen	tjan
94	旃	125.2	1	?	tsyen	tjan
94	旃	125.3	1	?	tsyen	tjan
95	旆	168.2	2	?	bajH	boobs
95	旆	245.4	2	?	bajH	boobs
95	旆	245.4	2	?	bajH	boobs
95	旆	304.6	1	?	bajH	boobs
96	旐	168.2	1	?	drjewX	ɡrlewʔ
97	旟	53.2	1	?	yo	k-la
97	旟	190.4	3	?	yo	k-la
97	旟	190.4	1	?	yo	k-la
97	旟	225.5	2	?	yo	k-la
97	旟	262.1	2	?	yo	k-la
98	昊	200.6	2	?	hawX	ɡuuʔ
99	昌	88.2	1	?	tsyhang	thjaŋ
99	昌	96.2	2	?	tsyhang	thjaŋ
99	昌	97.3	1	?	tsyhang	thjaŋ
99	昌	106.1	1	?	tsyhang	thjaŋ
99	昌	300.4	1	?	tsyhang	thjaŋ
100	晞	100.2	1	?	xj+j	qhlɯl
100	晞	129.2	2	?	xj+j	qhlɯl
100	晞	174.1	2	?	xj+j	qhlɯl
101	晣	182.2	3			
101	晣	182.2	3			
102	曀	30.3	1	?	'ejH	qiiɡs
102	曀	30.3	2	?	'ejH	qiiɡs
103	朅	57.4	2	?	khjwot	?
103	朅	62.1	1	?	khjwot	?
104	杜	119.1	1	?	duX	ɡ-laaʔ
104	杜	169.1	1	?	duX	ɡ-laaʔ
104	杜	169.2	1	?	duX	ɡ-laaʔ
105	杝	197.7	2	?	trhjeX	rlʰalʔ
106	杞	76.1	3	?	khiX	khɯʔ
106	杞	162.4	3	?	khiX	khɯʔ
106	杞	169.3	2	?	khiX	khɯʔ
106	杞	172.3	1	?	khiX	khɯʔ
106	杞	205.1	2	?	khiX	khɯʔ
107	栩	121.1	2	?	xjuX	qhʷlaʔ
107	栩	137.1	2	?	xjuX	qhʷlaʔ
107	栩	162.3	3	?	xjuX	qhʷlaʔ
107	栩	187.3	1	?	xjuX	qhʷlaʔ
108	栲	115.2	1			
108	栲	172.4	1			
109	栵	241.2	2	?	ljejH	b-reds
110	桋	204.8	2	?	dzye	lii
111	梴	305.6	1	?	trhjen	lʰan
112	椐	241.2	2	?	kjoH	kas
113	椓	192.13	2	?	traewk	?
114	楨	235.3	2	?	trjeng	teŋ
115	楰	172.5	2	?	yuX	loʔ
116	槱	238.1	1	?	yuwX	?
117	樅	242.4	1	?	tshjowng	tshoŋ
118	樊	219.1	2	?	bjon	ban
119	樕	23.2	1	?	suwk	sooɡ
120	樗	154.6	4	?	trhjo	khʷrla
120	樗	188.1	2	?	trhjo	khʷrla
121	檀	76.3	3	?	dan	daan
121	檀	112.1	1	?	dan	daan
121	檀	184.1	2	?	dan	daan
121	檀	184.2	2	?	dan	daan
122	櫛	291.1	2	?	tsrit	tsriɡ
123	櫜	175.3	2	?		klɯɯw
124	欽	132.1	2	?	khim	khrɯm
124	欽	208.4	1	?	khim	khrɯm
124	欽	208.4	1	?	khim	khrɯm
125	歗	69.2	2	?	sewH	sɯɯwɡs
126	殽	109.1	2	?	haew	ɡraaw
126	殽	192.12	2	?	haew	ɡraaw
126	殽	218.3	1	?	haew	ɡraaw
127	汕	171.2	2	?	sraenH	sraans
127	汕	171.2	2	?	sraenH	sraans
128	汜	22.1	1	?	ziX	?
129	沃	116.1	2	?	'owk	qowɡ
129	沃	228.2	2	?	'owk	qowɡ
130	沐	226.1	2	?	buwk	mooɡ
131	沚	13.1	2	?	tsyiX	?
131	沚	35.3	2	?	tsyiX	?
131	沚	129.3	2	?	tsyiX	?
131	沚	176.2	2	?	tsyiX	?
132	泮	34.3	2	?	phanH	phaans
132	泮	58.6	2	?	phanH	phaans
133	洲	1.1	2	*tu	tsyuw	kju
133	洲	208.3	2	*tu	tsyuw	kju
134	洵	31.5	1	?	swin	sqʷlin
135	洸	262.2	2	?	kwang	kʷaaŋ
135	洸	262.2	2	?	kwang	kʷaaŋ
136	涇	248.1	1	?	keng	keeŋ
137	涉	34.1	2	?	dzyep	?
138	涖	178.1	1	?	lijH	ɡ-rɯbs
138	涖	178.2	1	?	lijH	ɡ-rɯbs
138	涖	178.3	1	?	lijH	ɡ-rɯbs
139	涘	71.2	2	?		
139	涘	129.3	2	?		
139	涘	236.4	2	?		
140	淇	39.1	2	?	gi	ɡɯ
140	淇	58.1	1	?	gi	ɡɯ
140	淇	59.1	2	?	gi	ɡɯ
141	淒	90.1	1	?	tshej	
141	淒	90.1	1	?	tshej	
141	淒	204.2	1	?	tshej	
142	淪	112.3	3	?	lwin	ɡ-run
143	渭	236.5	2	?	hjw+jH	ɢuds
144	湄	129.2	2	?	mij	?
145	湛	161.3	2	?	drim	ɡrlum
145	湛	164.7	2	?	drim	ɡrlum
145	湛	220.2	2	?	drim	ɡrlum
146	溱	87.1	2	?	tsrin	tsrin
146	溱	190.4	2	?	tsrin	tsrin
146	溱	190.4	2	?	tsrin	tsrin
147	滺	59.4	1			
148	漂	85.2	2	?		phew
149	漕	39.4	1	?	dzaw	dzuu
149	漕	54.1	2	?	dzaw	dzuu
150	漙	94.1	2	?	dwan	doon
151	潀	248.4	1			
152	潦	15.1	2	?	lawH	ɡ-reews
153	濔	105.2	2	?	mjieX	melʔ
153	濔	105.2	2	?	mjieX	melʔ
154	濛	156.1	2	?	muwng	mooŋ
154	濛	156.2	2	?	muwng	mooŋ
154	濛	156.3	2	?	muwng	mooŋ
154	濛	156.4	2	?	muwng	mooŋ
155	濩	2.2	2	?	hwak	ɢʷaaɡ
156	濫	305.4	1	?	haemX	ɡraamʔ
157	濱	15.1	2	?		pin
157	濱	205.2	1	?		pin
158	瀌	223.7	1	?	bjiw	briw
158	瀌	223.7	1	?	bjiw	briw
159	瀖	57.4	1	?	xwak	qhʷaaɡ
159	瀖	57.4	1	?	xwak	qhʷaaɡ
160	瀟	90.2	1	?	sew	sɯɯw
160	瀟	90.2	1	?	sew	sɯɯw
161	瀼	94.2	2	?		njaŋ
161	瀼	94.2	2	?		njaŋ
161	瀼	173.2	2	?		njaŋ
161	瀼	173.2	2	?		njaŋ
162	炮	231.4	2	?	phaewH	?
163	熇	254.4	1	?	xak	qhaawɡ
163	熇	254.4	1	?	xak	qhaawɡ
164	熲	206.2	2	?	kwengX	?
165	燎	143.3	2	?	ljew	ɡ-rew
165	燎	239.5	2	?	ljew	ɡ-rew
166	燠	122.2	3	?	'juwk	quɡ
167	燬	10.3	2	?		qhʷralʔ
167	燬	10.3	1	?		qhʷralʔ
168	爽	58.4	1	?		?
168	爽	173.2	1	?		?
169	牂	140.1	2	?	tsang	skaaŋ
169	牂	140.1	2	?	tsang	skaaŋ
170	牆	76.2	2	?	dzjang	sɡaŋ
171	牛	227.2	2	*[ŋ]ʷə	ngjuw	ŋɯ
171	牛	292.1	2	*[ŋ]ʷə	ngjuw	ŋɯ
172	牢	250.4	2	?	law	ruu
173	牲	258.1	2			
174	犉	190.1	2	?	nywin	ndjun
175	猗	55.1	2	?	'je	qral
175	猗	179.6	2	?	'je	qral
175	猗	191.2	2	?	'je	qral
175	猗	301.1	1	?	'je	qral
176	玖	64.3	2	?	kjuwX	?
176	玖	74.3	2	?	kjuwX	?
177	珈	47.1	2	?		kraal
178	珌	213.2	2	?	pjit	piɡ
179	珩	178.2	3	?		ɢraaŋ
180	琚	64.1	2			
180	琚	83.1	2			
181	琛	299.8	2	?	trhim	khrlum
182	瑤	64.2	2	?		k-lew
182	瑤	250.2	2	?		k-lew
183	瑩	55.2	2	?	'wengH	qʷleeŋs
183	瑩	98.2	3	?	'wengH	qʷleeŋs
184	瑲	178.2	3	?		skhaŋ
184	瑲	178.2	3	?		skhaŋ
185	瓞	237.1	1	?	det	liiɡ
186	疚	167.3	1	?	kjuwH	klɯs
186	疚	169.4	2	?	kjuwH	klɯs
186	疚	203.2	2	?	kjuwH	klɯs
186	疚	265.5	3	?	kjuwH	klɯs
187	疧	206.1	2	?	trij	
187	疧	229.8	2	?	trij	
188	痗	62.4	2	?	mwojH	mɯɯs
188	痗	193.8	2	?	mwojH	mɯɯs
189	痻	257.4	1			
190	瘁	194.4	2	?	dzwijH	sɡuds
190	瘁	194.5	3	?	dzwijH	sɡuds
190	瘁	202.2	2	?	dzwijH	sɡuds
190	瘁	264.5	2	?	dzwijH	sɡuds
191	瘉	192.2	2	?	yuX	loʔ
191	瘉	223.3	2	?	yuX	loʔ
192	瘥	191.2	1	?	tsrhje	skhreels
193	皎	143.1	1	?	kewX	keewʔ
194	皓	116.2	2	?	hawX	ɡuuʔ
194	皓	116.2	2	?	hawX	ɡuuʔ
194	皓	143.2	1	?	hawX	ɡuuʔ
195	皙	47.2	3	?	sek	seeɡ
196	盬	121.1	1	?	kuX	kaaʔ
196	盬	162.2	2	?	kuX	kaaʔ
196	盬	162.3	1	?	kuX	kaaʔ
